scene_id,room_id,review_only_source_room_type,source_area_m2,scaled_area_m2,scaled_short_span_m,scaled_long_span_m,solidity,vertex_count,target_scene_min,target_scene_max
scene_012121,room_000,living room,33.964735378405315,53.0698990287585,7.6325,10.216875,0.8059408633147386,24,67,83
scene_012121,room_001,children's bedroom,10.612937499999996,16.58271484375,3.4543749999999998,5.156250000000001,0.9642700980698357,6,67,83
scene_012121,room_002,master bedroom,12.828462042943283,20.044471942099094,3.8500000000000005,6.53749999958,0.8820077988237431,10,67,83
scene_012121,room_003,kitchen,13.837193417785135,21.620614715289438,5.4625,8.329374999999999,0.6428439686821256,12,67,83
scene_012121,room_004,bedroom,12.626999999999997,19.729687499999997,3.4499999999999997,5.71875,1.0,4,67,83
scene_012173,room_000,kitchen with dining area,18.694787625,29.2106056640625,5.368124999999999,6.095625,0.9380938583101518,12,88,109
scene_012173,room_001,living room,39.81663539799412,62.213492809364695,7.365625,15.459999999999999,0.7097906939993179,12,88,109
scene_012173,room_002,foyer,11.126774749999997,17.385585546875,3.869375,4.493125,1.0,4,88,109
scene_012173,room_003,master bedroom,23.077303999999998,36.0582875,4.63125,8.219999999999999,0.9728765079872037,8,88,109
scene_012173,room_004,master bedroom,17.71870855483988,27.685482116937717,4.6187499999999995,7.331904297018999,0.8996136562776115,6,88,109
scene_011923,room_000,living room with dining area,45.55817326312636,71.1846457236318,9.736958007812998,12.541096191406,0.7365321699390383,10,84,104
scene_011923,room_001,master bedroom,19.898268632488236,31.091044738264404,4.598903808593999,7.383410644531001,0.9559615901433153,6,84,104
scene_011923,room_002,master bedroom,15.179376050079345,23.717775078250103,4.429511718750003,5.354489746094,1.0,4,84,104
scene_011923,room_003,children's bedroom,13.032341093666076,20.363032958854042,4.092746582031001,4.975395507813001,1.0,4,84,104
scene_011923,room_004,kitchen,11.761454979356756,18.37727340524684,3.026481933593999,6.072156982422001,1.0,4,84,104
scene_011687,room_000,living room,42.58069078125,66.53232934570458,7.577717749086526,14.29419234879332,0.7608419809557321,10,77,96
scene_011687,room_001,master bedroom,16.5909,25.923281250002084,4.225,6.825000000000999,0.9468151584930204,6,77,96
scene_011687,room_002,bedroom,13.328500000000002,20.82578125000381,3.8124999999999996,5.4625000000010004,1.0,4,77,96
scene_011687,room_003,kitchen,12.56016425204384,19.625256643819053,2.5875000000000004,7.837499999999999,0.9797722072593475,12,77,96
scene_011687,room_004,children's bedroom,11.365199999999998,17.758125000003584,3.5874999999999995,4.950000000001,1.0,4,77,96
scene_012246,room_000,living room,42.969277395812966,67.13949593095819,7.0675,11.335000305175999,0.9119140711197999,6,78,97
scene_012246,room_001,bedroom,20.277032521728486,31.682863315201338,4.968749847411999,7.360000305176,0.9283966003394848,6,78,97
scene_012246,room_002,bedroom,13.742451165771485,21.47257994651925,3.597500305176,5.96875,1.0,4,78,97
scene_012246,room_003,foyer,10.713030823242217,16.739110661314648,3.8524998474119996,4.344999694824001,1.0,4,78,97
scene_012246,room_004,home office,10.063603860961944,15.724381032751758,3.7162498474119996,4.231249694823999,1.0,4,78,97
scene_011838,room_000,dining room,64.59785376617431,100.93414650964509,11.776411972046,13.0075,0.7943948112313999,10,87,108
scene_011838,room_001,master bedroom,23.065653853518718,36.040084146120634,5.287518920898999,6.937568359374,0.9911666728022427,6,87,108
scene_011838,room_002,bathroom,10.535725347106933,16.462070854858652,3.605161972046,4.566250000001,1.0,4,87,108
scene_011838,room_003,kitchen,10.527023056030272,16.44847352504302,3.605144882202,4.562499999999,1.0,4,87,108
scene_011634,room_000,child room,11.612699411059609,18.144842829779464,4.124999999999999,5.601046230006999,0.8797679020393646,8,64,79
scene_011634,room_001,primary bedroom,13.926,21.759375000000002,4.375,6.3,0.8823417601216498,8,64,79
scene_011634,room_002,home office,11.28006061089653,17.625094704527992,3.801265784087999,6.0,0.871824009835981,8,64,79
scene_011634,room_003,living room,42.70030040391214,66.7192193811122,8.95,12.3,0.7619558210138297,18,64,79
scene_011809,room_000,family room,47.19502855608175,73.74223211887785,8.149371446650262,14.3541198354542,0.7866577592638171,16,57,70
scene_011809,room_001,master bedroom,13.465600000000004,21.039999999999996,4.187499999999999,5.95,0.9156659277291953,6,57,70
scene_011809,room_002,children's bedroom,10.285,16.070312499999996,3.4375,4.674999999999999,1.0,4,57,70
scene_011888,room_000,living room,35.368575,55.2633984375,9.375,10.787500000000001,0.706658834565341,12,48,60
scene_011888,room_001,master bedroom,12.696599999999998,19.838437499999998,4.325,5.4125,0.9174374241285622,6,48,60
scene_011888,room_002,bathroom,12.441600000000001,19.439999999999998,3.6,5.3999999999999995,1.0,4,48,60
scene_011760,room_000,living room,54.92539838439944,85.82093497562231,8.474999771117998,11.3875,0.9413803256800962,6,69,85
scene_011760,room_001,bedroom,19.8612,31.03312500000001,4.050000000000001,7.6625000000000005,1.0,4,69,85
scene_011760,room_002,home office,10.982000186767571,17.159375291824542,4.037499923706,4.250000152588001,1.0,4,69,85
